,Latitude,Longitude,City Name,ID,Max Temp,Humidity,Cloudiness,Speed,Date
0,3.0707,172.7902,Butaritari,2110227,81.23,70,34,2.82,1635055431
1,-42.7826,147.0587,New Norfolk,2155415,53.71,58,100,3.0,1635055431
2,47.35,22.95,Şamşud,668116,29.64,76,1,3.36,1635055431
3,62.456,-114.3525,Yellowknife,6185377,41.41,94,100,11.01,1635055287
4,72.7868,-56.1549,Upernavik,3418910,20.32,89,100,16.8,1635055432
5,-21.3585,55.7679,Saint-Philippe,935215,80.19,75,40,12.93,1635055432
6,32.2207,-98.2023,Stephenville,4734350,73.4,82,1,10.36,1635055216
7,-34.5322,20.0403,Bredasdorp,1015776,56.28,51,84,2.04,1635055433
8,-53.15,-70.9167,Punta Arenas,3874787,35.11,83,100,22.44,1635055396
9,52.0495,29.2456,Mazyr,625324,38.41,76,80,12.71,1635055433
10,26.4111,111.5956,Lengshuitan,1804162,68.85,46,0,8.46,1635055433
11,77.484,-69.3632,Qaanaaq,3831208,-2.33,59,0,7.87,1635055434
12,-33.9258,18.4232,Cape Town,3369157,60.12,67,0,1.99,1635055271
13,-23.1203,-134.9692,Rikitea,4030556,75.02,78,100,19.24,1635055434
14,-46.6,168.3333,Bluff,2206939,51.42,95,100,8.1,1635055435
15,40.4272,71.7189,Yangi Marg`ilon,1513491,56.12,28,0,2.3,1635055435
16,-8.9266,125.4092,Airai,1651810,76.17,51,53,2.28,1635055435
17,55.3422,-131.6461,Ketchikan,5554428,41.22,92,97,6.96,1635055436
18,-42.8794,147.3294,Hobart,2163355,54.05,65,90,4.0,1635055408
19,-20.3297,-40.2925,Vila Velha,3445026,71.44,92,23,9.98,1635055436
20,-24.7911,-50.0119,Castro,3466704,59.18,95,100,8.61,1635055237
21,66.7697,123.3711,Zhigansk,2012530,24.57,93,94,10.71,1635055437
22,45.7625,106.2708,Mandalgovi,2030065,47.64,22,99,9.98,1635055437
23,-46.1927,168.8643,Mataura,6201424,53.13,95,100,2.64,1635055437
24,4.423,-7.3528,Tabou,2281120,76.84,87,73,4.79,1635055438
25,31.7561,25.0865,Al Bardīyah,80509,69.62,61,0,2.89,1635055438
26,63.4427,-20.2734,Vestmannaeyjar,3412093,47.25,83,100,14.03,1635055152
27,60.7161,-135.0538,Whitehorse,6180550,38.01,96,100,10.0,1635055439
28,65.6145,-37.6368,Tasiilaq,3424607,32.16,97,100,7.16,1635055439
29,-8.103,156.8419,Gizo Government Station,2108857,85.14,65,15,3.96,1635055439
30,-33.65,115.3333,Busselton,2075265,75.04,62,100,9.33,1635055440
31,-6.0911,-35.2086,Nísia Floresta,3393922,76.06,81,27,6.73,1635055440
32,63.7506,-68.5145,Iqaluit,5983720,29.7,86,100,15.01,1635055440
33,-20.7333,139.5,Mount Isa,2065594,91.17,33,75,11.5,1635055441
34,18.3851,42.4509,Faya,110690,66.72,19,9,4.03,1635055441
35,42.9744,140.5089,Iwanai,2129868,56.77,65,23,12.62,1635055442
36,49.5886,81.0453,Shar,1519275,50.36,40,77,15.35,1635055443
37,-34.4187,19.2345,Hermanus,3366880,56.8,65,16,5.64,1635055443
38,-14.7447,-50.5706,Mozarlândia,3456642,78.8,64,100,4.63,1635055443
39,62.0961,77.475,Raduzhny,1540356,38.57,88,100,18.03,1635055444
40,-54.8,-68.3,Ushuaia,3833367,27.68,96,95,6.13,1635055338
41,-0.7393,-90.3518,Puerto Ayora,3652764,68.61,89,71,7.85,1635055400
42,-0.6,73.0833,Hithadhoo,1282256,83.14,73,79,13.62,1635055444
43,-38.0023,-57.5575,Mar del Plata,3430863,45.88,82,0,1.01,1635055188
44,49.758,129.523,Shirokiy,2016680,52.72,41,9,7.02,1635055445
45,51.55,-9.2667,Skibbereen,2961459,55.2,90,16,15.41,1635055445
46,-9.8,-139.0333,Atuona,4020109,78.17,76,20,19.62,1635055446
47,-21.2,-175.2,Vaini,4032243,71.76,83,20,8.05,1635055446
